Переменная|Англ.|Русс.|Перевод
franchise.views.catalog.newcatalog.edit_cat_two|Catalogue editing<small>|Редактирование каталога <small>|Redactare catalog <small>
frontend.controllers.client.empty_catalog|Catalogue is empty!|Каталог пустой!|Informația din catalog a fost ștearsă!
frontend.views.vendor.no_cat|Catalogue is not appointed|Каталог не назначен|Catalogul nu este desemnat
frontend.controllers.client.cat_updated|Catalogue is updated!|Каталог обновлен|Catalog actualizat
frontend.views.vendor.downl_cat|Catalogue loading|Загрузка каталога|Încărcarea catalogului
frontend.views.vendor.cat_name|Catalogue name|Имя каталога|Denumirea catalogului
common.mail.accept_restaurant_invite.vendors_catalog|Catalogue of suppliers|Каталог поставщиков|Catalogul furnizorilor
frontend.views.vendor.cat_work|Catalogue operations|Работа с каталогом|Lucrul cu catalogul
frontend.controllers.client.sended|Catalogue was added! Invitation was sent to email|Каталог добавлен! приглашение было отправлено на почту  |Catalogul este adăugat! invitația a fost trimisă la adresa de email
frontend.controllers.client.cat_updated_two|Catalogue was successfully updated|Каталог был успешно обновлен|Catalogul a fost actualizat cu succes
frontend.views.vendor.catalogs_four|Catalogues|Каталоги|Cataloage
market.views.site.supplier.categories|Categories:|Категории:|Categorii:
frontend.views.request.category|Category|Категория|Categorie
frontend.views.request.category_three|Category:|Категория:|Categorie:
Острова Кайман|Cayman Islands|Острова Кайман|Insulele Cayman
кедровое масло|Cedar oil|Кедровое масло|Ulei de cedru
Сельдерей|Celery|Сельдерей|Țelină
Центрально-Африканская Республика|Central African Republic|Центрально-Африканская Республика|Republica Centrafricană
Мраморная говядина зернового откорма|Cereal-fed marbled beef|Мраморная говядина зернового откорма|Carne de vită marmorată (hrănită cu cereale)
Чад|Chad|Чад|Ciad
Стулья|Chairs|Стулья|Scaune
frontend.views.vendor.change_cat_name|Change catalogue name|Изменить название каталога|Modifică denumirea catalogului
Изменить валюту:|Change currency:|Изменить валюту:|Modifică valuta:
frontend.views.settings.avatar|Change icon|Сменить аватар|Modifică avatarul
franchise.views.organization.change_vendor_info|Change information about supplier|Изменить информацию о поставщике|Modifică informația despre furnizor
frontend.views.vendor.change_prices_two|Change prices|Изменить цены|Modifică prețurile
frontend.views.order.change_quantity|Change quantity|Изменить количество|Modifică cantitatea
frontend.views.client.suppliers.var17|Change the directory currency|Изменение валюты каталога|Modificarea valutei catalogului
frontend.controllers.order.change_details_four|Changed details of the order No.| изменил детали заказа №|A modificat detaliile comenzii Nr.
frontend.views.order.guides.changed|Changed:|Изменен:|Modificat:
frontend.views.order.saving_changes|Changes application|Сохранение изменений|Salvează modificările
frontend.controllers.order.changes_saved|Changes are saved!|Изменения сохранены!|Modificări salvate!
api.modules.v1.modules.mobile.components.notifications.change_position|Changes in item|Изменения в позиции |Modificarea itemilor
api.modules.v1.modules.mobile.components.notifications.change_order|Changes in order No.|Изменения в заказе №|Modificarea comenzii nr.
frontend.controllers.order.change_in_order|Changes in the order No.|Измененения в заказе №|Modificarea comenzii Nr.
common.models.additional_email.changing|Changing|Изменение|Modificare
Колбасные изделия|Charcuterie|Колбасные изделия|Mezeluri
из косточек вишни|Cherry stone oil|Из косточек вишни|Din sâmburi de vișine
Жевательная резинка|Chewing gum|Жевательная резинка|Gumă de mestecat
Курица|Chicken|Курица|Pui
Чили|Chile|Чили|Chile
Китай|China|Китай|China
Чипсы|Chips|Чипсы|Chips-uri
Шоколад|Chocolate|Шоколад|Ciocolată
franchise.views.site.settings.choose_boss|Choose head for manager|Выберите руководителя для менеджера|Selectați administratorul managerului
franchise.views.finance.choose|Choose month|Выберите месяц|Selectați luna
frontend.views.request.choose_category|Choose product category|Выберите категорию товара|Selectați categoria de mărfuri
Остров Рождества|Christmas Island|Остров Рождества|Insula Crăciunului
Сигареты|Cigarettes|Сигареты|Țigări
Сигары|Cigars|Сигары|Trabucuri
Цитрусовые фрукты|Citrus fruits|Цитрусовые фрукты|Fructe citrice
frontend.views.order.city_four|City|Город:|Orașul:
frontend.views.order.basket_empty_two|Clear Cart|Очистить корзину|Golire coș
api.common.mail.confirm_email.go_to_two|Click link to set new password:|Пройдите по ссылке для установки нового пароля:|Accesați link-ul pentru a seta noua parola:
frontend.views.request.close|Close|Закрыть|Închide
frontend.views.request.clos_req|Close the request?|Закрыть заявку?|Închideți comanda?
frontend.views.client.supp.var6|Close!|Закрыть!|Închideți!
frontend.views.request.closed_two|Closed|Закрыта|Închisă
frontend.views.request.closed|Closed request|Заявка закрыта|Cererea închisă
frontend.views.site.owner|Co-owner:  Black Smith, Garazh, Shayka Leyka, Azia club|Совладелец: Black Smith, Гараж, Шайка Лейка, Азия клуб|Co-proprietar: Black Smith, Garazh, Shayka Leyka, Azia club
Коктейль|Cocktail|Коктейль|Cocktail
Коктейли|Cocktails|Коктейли|Cocktail-uri
Какао|Cocoa|Какао|Cacao
Кокосовые (Килинг) острова|Cocos (Keeling) Islands|Кокосовые (Килинг) острова|Insulele Cocos (Keeling)
Кофе|Coffee|Кофе|Cafea
Кофемашины|Coffee machines|Кофемашины|Aparate de cafea
Колумбия|Colombia|Колумбия|Columbia
frontend.views.order.grid_comment|Comment|Комментарий |Comentarii
frontend.views.order.good_comment_two|Comment on product|Комментарий к товару|Comentariu la produs
frontend.controllers.order.comment|Comment on the product was added|Комментарий к товару добавлен|Comentariu la produs adăugat
Комментарий к заказу:|Comment to the order:|Комментарий к заказу:|Comentariu la comandă:
